ts_entry,ts_exit,direction,entry,stop,target,rr,outcome,bars_to_outcome,mfe,mae,r_result,balance_before,balance_after,cash_result
2025-08-05 02:09:00,,bullish,1.15829,1.15777,1.1589140000000002,1.2,timeout,,0.4999999999997865,-0.21153846153853545,0.0,6142.045665671248,6142.045665671248,0.0
2025-08-05 02:29:00,,bullish,1.15848,1.15819,1.1588279999999997,1.2,timeout,,0.2413793103449596,-0.9655172413798384,0.0,6142.045665671248,6142.045665671248,0.0
2025-08-05 02:39:00,2025-08-05 02:52:00,bearish,1.15831,1.15841,1.15819,1.2,loss,13.0,1.1000000000006662,-1.299999999999778,-1.0,6142.045665671248,6080.625209014535,-61.420456656712474
2025-08-05 02:49:00,2025-08-05 02:52:00,bullish,1.15835,1.15829,1.1584219999999998,1.2,win,3.0,1.5,-0.5,1.2,6080.625209014535,6153.59271152271,72.96750250817442
2025-08-05 02:59:00,2025-08-05 03:00:00,bullish,1.15841,1.15829,1.1585539999999999,1.2,win,1.0,1.3333333333358004,0.0,1.2,6153.59271152271,6227.435824060982,73.8431125382725
2025-08-05 03:09:00,2025-08-05 03:20:00,bullish,1.15872,1.15829,1.159236,1.2,loss,11.0,0.0,-1.1860465116281231,-1.0,6227.435824060982,6165.161465820372,-62.27435824060982
2025-08-05 03:19:00,2025-08-05 03:26:00,bearish,1.15832,1.15862,1.15796,1.2,win,7.0,1.5000000000003701,0.0,1.2,6165.161465820372,6239.143403410216,73.98193758984446
2025-08-05 03:29:00,2025-08-05 03:40:00,bearish,1.1579,1.15826,1.1574679999999997,1.2,win,11.0,1.2222222222217425,-0.19444444444441017,1.2,6239.143403410216,6314.013124251139,74.8697208409226
2025-08-05 03:39:00,2025-08-05 03:49:00,bearish,1.15766,1.15793,1.157336,1.2,win,10.0,1.2592592592593201,-0.14814814814830043,1.2,6314.013124251139,6389.781281742153,75.76815749101367
2025-08-05 03:49:00,2025-08-05 04:03:00,bearish,1.15735,1.15763,1.1570140000000002,1.2,win,14.0,1.714285714286847,-0.4285714285713153,1.2,6389.781281742153,6466.458657123058,76.67737538090583
2025-08-05 03:59:00,2025-08-05 04:00:00,bullish,1.15719,1.15707,1.1573339999999999,1.2,win,1.0,1.3333333333358004,-0.6666666666660499,1.2,6466.458657123058,6544.056161008535,77.5975038854767
2025-08-05 04:09:00,2025-08-05 04:10:00,bullish,1.15651,1.15637,1.1566779999999999,1.2,loss,1.0,0.07142857142902458,-1.999999999998414,-1.0,6544.056161008535,6478.615599398449,-65.44056161008535
2025-08-05 04:19:00,,bullish,1.15664,1.15608,1.1573119999999997,1.2,timeout,,0.3214285714287555,-0.49999999999980177,0.0,6478.615599398449,6478.615599398449,0.0
2025-08-05 04:29:00,2025-08-05 04:35:00,bullish,1.15674,1.15648,1.1570520000000002,1.2,loss,6.0,0.30769230769158507,-1.0769230769226827,-1.0,6478.615599398449,6413.829443404465,-64.7861559939845
2025-08-05 04:39:00,2025-08-05 04:45:00,bullish,1.15675,1.15647,1.1570859999999998,1.2,win,6.0,1.4285714285721083,-0.21428571428565765,1.2,6413.829443404465,6490.795396725318,76.96595332085359
2025-08-05 04:49:00,2025-08-05 04:51:00,bearish,1.15698,1.15718,1.1567399999999997,1.2,win,2.0,1.3499999999986123,-0.45000000000027757,1.2,6490.795396725318,6568.684941486022,77.88954476070381
2025-08-05 05:09:00,,bullish,1.15609,1.15572,1.156534,1.2,timeout,,0.9459459459455891,-0.8378378378379676,0.0,6568.684941486022,6568.684941486022,0.0
2025-08-05 05:19:00,2025-08-05 05:23:00,bearish,1.15587,1.15618,1.155498,1.2,loss,4.0,0.29032258064488403,-1.1612903225809685,-1.0,6568.684941486022,6502.998092071161,-65.68684941486022
