open,high,low,close,volume
1.14141,1.14151,1.14138,1.1414,40
1.1414,1.14166,1.14128,1.14146,50
1.14146,1.14171,1.14138,1.14147,72
1.14154,1.14163,1.14128,1.14135,70
1.14135,1.1414,1.14135,1.1414,2
1.14128,1.14128,1.14128,1.14128,1
1.14128,1.14128,1.14128,1.14128,1
1.14128,1.14129,1.14128,1.14129,2
1.14129,1.14129,1.14091,1.14129,6
1.14129,1.14129,1.14129,1.14129,1
1.14129,1.14129,1.14129,1.14129,1
1.14129,1.14129,1.14129,1.14129,1
1.14167,1.14167,1.14129,1.14132,15
1.14131,1.14167,1.14129,1.14131,13
1.1413,1.14131,1.14129,1.14129,6
1.14129,1.14129,1.14129,1.14129,1
1.14129,1.14129,1.14129,1.14129,1
1.14129,1.1413,1.14129,1.1413,4
1.1413,1.1413,1.1413,1.1413,1
1.1413,1.14132,1.1413,1.14131,3
1.14131,1.14132,1.14131,1.14132,2
1.14132,1.14132,1.14132,1.14132,1
1.14132,1.14132,1.14131,1.14132,3
1.14132,1.14132,1.14132,1.14132,1
1.14132,1.14132,1.14132,1.14132,1
1.14132,1.14132,1.14132,1.14132,1
1.14137,1.14138,1.14137,1.14138,4
1.14138,1.14142,1.14138,1.14138,6
1.14138,1.14141,1.14137,1.14141,5
1.14141,1.14146,1.14141,1.14146,4
1.1414900000000001,1.1414900000000001,1.14146,1.14147,3
1.14147,1.14153,1.14147,1.14153,5
1.14153,1.14155,1.14153,1.14155,3
1.14155,1.14157,1.14155,1.14157,3
1.14161,1.14161,1.14158,1.1416,5
1.1416,1.14166,1.1416,1.14166,7
1.14181,1.14181,1.14162,1.14162,10
1.14164,1.1418300000000001,1.14162,1.14169,21
1.14169,1.14185,1.14169,1.14169,6
1.1417,1.14186,1.1417,1.14185,6
1.14169,1.14187,1.14168,1.14169,14
1.14169,1.14184,1.14167,1.14169,14
1.14163,1.14178,1.14161,1.14174,48
1.14174,1.14176,1.14173,1.14176,17
1.14176,1.14176,1.14172,1.14174,11
1.14174,1.14177,1.14166,1.14173,13
1.14174,1.14175,1.14171,1.14174,7
1.1417,1.14178,1.1417,1.14177,11
1.1417,1.14179,1.1417,1.14179,12
1.14179,1.14179,1.14164,1.14174,14
1.14174,1.14175,1.14164,1.14175,9
1.14174,1.14175,1.14174,1.14175,16
1.14174,1.14175,1.14174,1.14175,2
1.14175,1.14181,1.14173,1.14179,10
